theta_over_pi,phi_over_pi,data,error
0,0,1.2785,0.031531730050855
0,0.0625,1.2682,0.0247648945081541
0,0.125,1.2718,0.029536756761703
0,0.1875,1.2727,0.0273590935522359
0,0.25,1.2843,0.0336535287897123
0,0.3125,1.2708,0.0303935848494381
0,0.375,1.2661,0.0238503668734885
0,0.4375,1.2685,0.0237191905426808
0,0.5,1.2725,0.0300986710670088
0,0.5625,1.2777,0.033895427420229
0,0.625,1.2614,0.0225162163784239
0,0.6875,1.2772,0.030634131291747
0,0.75,1.2894,0.0374598451678596
0,0.8125,1.2701,0.0266557686064387
0,0.875,1.2742,0.02804014978562
0,0.9375,1.2764,0.0324593592050121
0,1,1.2655,0.0248712685643495
0.0625,0,1.2742,0.0274548720630783
0.0625,0.0625,1.2821,0.0296905708938041
0.0625,0.125,1.2717,0.0232228335911016
0.0625,0.1875,1.2754,0.0316968452688908
0.0625,0.25,1.2705,0.0308084404019418
0.0625,0.3125,1.2623,0.0266728326204773
0.0625,0.375,1.2551,0.0290337734371544
0.0625,0.4375,1.2584,0.035949408896392
0.0625,0.5,1.2451,0.0256912436444794
0.0625,0.5625,1.229,0.0204943894761469
0.0625,0.625,1.2323,0.0240831891575844
0.0625,0.6875,1.2261,0.0280959071752454
0.0625,0.75,1.2315,0.0279644417072825
0.0625,0.8125,1.2137,0.0195028203088681
0.0625,0.875,1.2266,0.0302925733472742
0.0625,0.9375,1.2175,0.0279873185568036
0.0625,1,1.2155,0.0263751777245197
0.125,0,1.2746,0.0325129205086224
0.125,0.0625,1.2711,0.0302671439022579
0.125,0.125,1.2716,0.0262246067654026
0.125,0.1875,1.2634,0.0341252106220607
0.125,0.25,1.2375,0.0191603757791959
0.125,0.3125,1.2283,0.0283593018249745
0.125,0.375,1.2034,0.0250888421414779
0.125,0.4375,1.1905,0.0268627995562636
0.125,0.5,1.1716,0.0294159820505791
0.125,0.5625,1.1441,0.023165707414193
0.125,0.625,1.1326,0.0254011810749029
0.125,0.6875,1.1096,0.0254848974885126
0.125,0.75,1.0976,0.0223912929506092
0.125,0.8125,1.0863,0.0236603043091167
0.125,0.875,1.0805,0.0257126428046594
0.125,0.9375,1.0755,0.0274869059735721
0.125,1,1.0761,0.0259738329862961
0.1875,0,1.2792,0.0316362134270205
0.1875,0.0625,1.2644,0.0246521804309477
0.1875,0.125,1.2537,0.0215745220109277
0.1875,0.1875,1.2322,0.0244
0.1875,0.25,1.1965,0.0197517087868365
0.1875,0.3125,1.1683,0.0236579796263331
0.1875,0.375,1.1292,0.022736974292988
0.1875,0.4375,1.0927,0.0230158640941416
0.1875,0.5,1.0613,0.024960969532452
0.1875,0.5625,1.0266,0.0245367071955468
0.1875,0.625,0.9935,0.0238159610345668
0.1875,0.6875,0.9685,0.0251793566240284
0.1875,0.75,0.946,0.0229712864245779
0.1875,0.8125,0.9288,0.0224628582330922
0.1875,0.875,0.9146,0.0214580987042189
0.1875,0.9375,0.9034,0.0214462117867002
0.1875,1,0.9038,0.0219317121994613
0.25,0,1.2878,0.0370989218172174
0.25,0.0625,1.2641,0.0237497368406474
0.25,0.125,1.2371,0.0232206804379201
0.25,0.1875,1.2021,0.0230672928624058
0.25,0.25,1.1558,0.0286665310074309
0.25,0.3125,1.0925,0.0223089668070935
0.25,0.375,1.0417,0.0245507637355745
0.25,0.4375,0.9822,0.0212424104093673
0.25,0.5,0.9392,0.0240010416440621
0.25,0.5625,0.8867,0.0210867256822865
0.25,0.625,0.8535,0.0226497240601294
0.25,0.6875,0.8172,0.019746392075516
0.25,0.75,0.7876,0.016758579892103
0.25,0.8125,0.769,0.0173277234511635
0.25,0.875,0.7498,0.0175145653671451
0.25,0.9375,0.7439,0.0182101619981811
0.25,1,0.7386,0.0180005555469825
0.3125,0,1.2763,0.0308753947343188
0.3125,0.0625,1.2648,0.0294458825644604
0.3125,0.125,1.2216,0.0263370461517612
0.3125,0.1875,1.1628,0.0242161103400195
0.3125,0.25,1.1,0.0241696090162833
0.3125,0.3125,1.0203,0.0239286439231311
0.3125,0.375,0.9462,0.0220054538694389
0.3125,0.4375,0.8822,0.0207894203863407
0.3125,0.5,0.8194,0.019177069640589
0.3125,0.5625,0.7644,0.0180601771862847
0.3125,0.625,0.7217,0.0158533908044936
0.3125,0.6875,0.6853,0.0176139149538086
0.3125,0.75,0.6517,0.0153182897217672
0.3125,0.8125,0.6344,0.0156041661103693
0.3125,0.875,0.6166,0.0158911925291968
0.3125,0.9375,0.6065,0.0167764716195034
0.3125,1,0.6047,0.0156818366271302
0.375,0,1.2684,0.0229085137012421
0.375,0.0625,1.2536,0.0281618536321742
0.375,0.125,1.1938,0.0212002358477446
0.375,0.1875,1.1293,0.0266580194313081
0.375,0.25,1.0386,0.0215541179360231
0.375,0.3125,0.9491,0.021114213222377
0.375,0.375,0.8574,0.019785095400326
0.375,0.4375,0.7818,0.0190646269305224
0.375,0.5,0.7143,0.0165604951616793
0.375,0.5625,0.6609,0.0178241409330156
0.375,0.625,0.6149,0.0160131196211107
0.375,0.6875,0.577,0.0150960259671212
0.375,0.75,0.5453,0.0134951843262698
0.375,0.8125,0.5268,0.012986916493148
0.375,0.875,0.5079,0.0121807224744676
0.375,0.9375,0.5029,0.0137713470655561
0.375,1,0.4953,0.0121807224744676
0.4375,0,1.2703,0.032471833948824
0.4375,0.0625,1.2406,0.0209668786422776
0.4375,0.125,1.1694,0.020573040611441
0.4375,0.1875,1.081,0.0213883145666038
0.4375,0.25,0.9771,0.0212275764042907
0.4375,0.3125,0.8749,0.0171143214881572
0.4375,0.375,0.7799,0.0181592951405059
0.4375,0.4375,0.6971,0.0168442868652847
0.4375,0.5,0.6261,0.0153443800787128
0.4375,0.5625,0.5707,0.0127424487442563
0.4375,0.625,0.5274,0.0129123971438305
0.4375,0.6875,0.4905,0.0124036285013701
0.4375,0.75,0.461,0.0124903963107661
0.4375,0.8125,0.4411,0.0115849039702537
0.4375,0.875,0.4264,0.0107687557312811
0.4375,0.9375,0.4162,0.0104710123674839
0.4375,1,0.4147,0.010312269391361
0.5,0,1.262,0.0279508497187475
0.5,0.0625,1.2363,0.029119237627383
0.5,0.125,1.1509,0.0236078376815837
