theta_over_pi,phi_over_pi,data,error
0,0,1.679,0.0188151534673518
0,0.0625,1.706,0.0421379876121298
0,0.125,1.733,0.0587567868420322
0,0.1875,1.706,0.0428533545944772
0,0.25,1.677,0.0276551984263358
0,0.3125,1.704,0.0373605406813124
0,0.375,1.701,0.0428924235734006
0,0.4375,1.72,0.0537121960079831
0,0.5,1.709,0.0418492532788819
0,0.5625,1.687,0.0282363241233699
0,0.625,1.717,0.0461774836906475
0,0.6875,1.736,0.0616846820531646
0,0.75,1.727,0.052392747589719
0,0.8125,1.702,0.0336810035479942
0,0.875,1.735,0.0749188894738837
0,0.9375,1.694,0.0261725046566047
0,1,1.706,0.0415077101271559
0.0625,0,1.727,0.0529215457068292
0.0625,0.0625,1.724,0.0510533054757476
0.0625,0.125,1.714,0.0404816007588634
0.0625,0.1875,1.694,0.0322948912368504
0.0625,0.25,1.706,0.0357945526581909
0.0625,0.3125,1.698,0.0324721419065635
0.0625,0.375,1.711,0.0487643312268301
0.0625,0.4375,1.709,0.042813666042515
0.0625,0.5,1.702,0.0389994871761155
0.0625,0.5625,1.695,0.0473184953268805
0.0625,0.625,1.696,0.0367695526217005
0.0625,0.6875,1.698,0.0474140274602358
0.0625,0.75,1.689,0.039747201159327
0.0625,0.8125,1.698,0.0402568006677133
0.0625,0.875,1.692,0.0482830197895699
0.0625,0.9375,1.716,0.0658034193640421
0.0625,1,1.7,0.048367447730886
0.125,0,1.72,0.0474140274602358
0.125,0.0625,1.738,0.0619436033824317
0.125,0.125,1.713,0.0404030939409348
0.125,0.1875,1.714,0.0545278827756956
0.125,0.25,1.698,0.0350035712463743
0.125,0.3125,1.679,0.0331549393002008
0.125,0.375,1.698,0.0479941663121676
0.125,0.4375,1.681,0.0430116263352133
0.125,0.5,1.673,0.0527821939672842
0.125,0.5625,1.677,0.0568802250347167
0.125,0.625,1.688,0.0734863932983515
0.125,0.6875,1.667,0.0607960525034316
0.125,0.75,1.663,0.0603059698537383
0.125,0.8125,1.658,0.0635591063499165
0.125,0.875,1.644,0.0510003921553549
0.125,0.9375,1.634,0.0559911600165597
0.125,1,1.633,0.0443423048566489
0.1875,0,1.729,0.0505762790248553
0.1875,0.0625,1.748,0.0795417500436092
0.1875,0.125,1.729,0.0522119718072398
0.1875,0.1875,1.702,0.0445394207416306
0.1875,0.25,1.684,0.0389924351637596
0.1875,0.3125,1.686,0.0514198405287298
0.1875,0.375,1.675,0.060109982532022
0.1875,0.4375,1.654,0.055304972651652
0.1875,0.5,1.62,0.0467135954514316
0.1875,0.5625,1.62,0.0585427194448636
0.1875,0.625,1.595,0.0560984848280236
0.1875,0.6875,1.581,0.0474653557871423
0.1875,0.75,1.5689,0.0598248276219831
0.1875,0.8125,1.5481,0.0481864088722122
0.1875,0.875,1.5522,0.0583291522311101
0.1875,0.9375,1.5684,0.0720694109869089
0.1875,1,1.5393,0.0478524816493355
0.25,0,1.695,0.0312371573610661
0.25,0.0625,1.717,0.0507684941671507
0.25,0.125,1.709,0.0463600043140636
0.25,0.1875,1.686,0.0476362257111119
0.25,0.25,1.673,0.049671319692555
0.25,0.3125,1.653,0.05501099890022
0.25,0.375,1.631,0.0638546004607342
0.25,0.4375,1.603,0.064183798578769
0.25,0.5,1.5548,0.0462501891888022
0.25,0.5625,1.5464,0.0661853458100808
0.25,0.625,1.5123,0.0583144064532941
0.25,0.6875,1.4779,0.052443588740665
0.25,0.75,1.466,0.0526076990563169
0.25,0.8125,1.4529,0.0595101671985554
0.25,0.875,1.4408,0.0636699301083331
0.25,0.9375,1.4409,0.0675624895929688
0.25,1,1.4309,0.0634135632179741
0.3125,0,1.676,0.0222991031209777
0.3125,0.0625,1.713,0.0562694410848375
0.3125,0.125,1.692,0.0541826540509045
0.3125,0.1875,1.646,0.0394684684273407
0.3125,0.25,1.647,0.0568738955936729
0.3125,0.3125,1.593,0.0416192263263026
0.3125,0.375,1.5628,0.0573607880001661
0.3125,0.4375,1.534,0.0630051585189658
0.3125,0.5,1.4859,0.0576906404887309
0.3125,0.5625,1.4317,0.0499288493758868
0.3125,0.625,1.4043,0.0540259197052675
0.3125,0.6875,1.3899,0.0698481925320905
0.3125,0.75,1.3433,0.0523691703199505
0.3125,0.8125,1.3405,0.0690087675589124
0.3125,0.875,1.3234,0.0738918804741088
0.3125,0.9375,1.3109,0.0652919596887702
0.3125,1,1.3077,0.0672394229600463
0.375,0,1.657,0.0168154690686879
0.375,0.0625,1.679,0.0404030939409348
0.375,0.125,1.668,0.0408044115262063
0.375,0.1875,1.646,0.0591321401608294
0.375,0.25,1.598,0.0537386267037037
0.375,0.3125,1.5569,0.0578363207681816
0.375,0.375,1.5013,0.0560765548157161
0.375,0.4375,1.4382,0.0499459708084645
0.375,0.5,1.3992,0.0640401436600511
0.375,0.5625,1.3553,0.0657641999875311
0.375,0.625,1.3074,0.0652325838825965
0.375,0.6875,1.2547,0.0537975835888564
0.375,0.75,1.2371,0.0658836853856857
0.375,0.8125,1.1989,0.0552452712908537
0.375,0.875,1.1933,0.0650884014245241
0.375,0.9375,1.1786,0.0623407571336763
0.375,1,1.1817,0.0696841445380511
0.4375,0,1.678,0.0500028999159047
0.4375,0.0625,1.672,0.0435839419970244
0.4375,0.125,1.639,0.0511281722732195
0.4375,0.1875,1.583,0.0338378486313773
0.4375,0.25,1.5356,0.0374594447369419
0.4375,0.3125,1.5146,0.0666520067214782
0.4375,0.375,1.4416,0.0574624225037545
0.4375,0.4375,1.3597,0.0482025932912327
0.4375,0.5,1.3122,0.0600090826458796
0.4375,0.5625,1.2557,0.0672086303981862
0.4375,0.625,1.1986,0.0617098047315013
0.4375,0.6875,1.1444,0.0528523414807707
0.4375,0.75,1.1117,0.0580876923280654
0.4375,0.8125,1.0849,0.0579883609011324
0.4375,0.875,1.0702,0.0673341666615099
0.4375,0.9375,1.0496,0.0595249527509263
0.4375,1,1.0588,0.0704670845146867
0.5,0,1.652,0.0447575691922605
0.5,0.0625,1.617,0.0170941510464836
0.5,0.125,1.613,0.0407141253129671
0.5,0.1875,1.565,0.0500099990001999
