theta_over_pi,phi_over_pi,data,error
0.4375,1,1.405,0.132340054405308
0.5,0,1.842,0.096804390396304
0.5,0.0625,1.871,0.126889715895339
0.5,0.125,1.844,0.118231806211358
0.5,0.1875,1.807,0.115931186485777
0.5,0.25,1.776,0.130353519323415
0.5,0.3125,1.701,0.11184560787085
0.5,0.375,1.661,0.116918604165462
0.5,0.4375,1.606,0.124686166032965
0.5,0.5,1.559,0.130364910923147
0.5,0.5625,1.483,0.115135094562866
0.5,0.625,1.426,0.110354021222609
0.5,0.6875,1.379,0.114039291474474
0.5,0.75,1.339,0.106371095698032
0.5,0.8125,1.323,0.122002336043209
0.5,0.875,1.282,0.110055258847544
0.5,0.9375,1.283,0.116719492802188
0.5,1,1.281,0.12439035332372
0.5625,0,1.803,0.0937541465749647
0.5625,0.0625,1.785,0.0808044553227109
0.5625,0.125,1.778,0.0995889552109068
0.5625,0.1875,1.735,0.0986602250149472
0.5625,0.25,1.696,0.108167693883155
0.5625,0.3125,1.628,0.0957548954362125
0.5625,0.375,1.558,0.0959327368524428
0.5625,0.4375,1.516,0.121299793899248
0.5625,0.5,1.474,0.135746418000623
0.5625,0.5625,1.384,0.119718377870735
0.5625,0.625,1.311,0.098807337784195
0.5625,0.6875,1.269,0.106371095698032
0.5625,0.75,1.211,0.0921442347626807
0.5625,0.8125,1.1834,0.102090939852663
0.5625,0.875,1.147,0.0907526308158613
0.5625,0.9375,1.138,0.0948400759173039
0.5625,1,1.128,0.0947401182182078
0.625,0,1.737,0.0911940787551474
0.625,0.0625,1.732,0.0836557828246201
0.625,0.125,1.714,0.0902919708501259
0.625,0.1875,1.656,0.07917455399306
0.625,0.25,1.622,0.091688657968148
0.625,0.3125,1.575,0.124188123425712
0.625,0.375,1.5,0.10627083325165
0.625,0.4375,1.421,0.11184225498442
0.625,0.5,1.353,0.107066568077995
0.625,0.5625,1.263,0.090553851381374
0.625,0.625,1.205,0.091846012433856
0.625,0.6875,1.137,0.0882682842248563
0.625,0.75,1.083,0.0780433213029788
0.625,0.8125,1.0626,0.0907526308158611
0.625,0.875,1.009,0.0701167597654083
0.625,0.9375,1.018,0.0952373876164188
0.625,1,0.956,0.049520197899443
0.6875,0,1.645,0.056067905257821
0.6875,0.0625,1.655,0.0781529909856302
0.6875,0.125,1.654,0.097371710470752
0.6875,0.1875,1.601,0.0878670017697201
0.6875,0.25,1.544,0.0854468255700585
0.6875,0.3125,1.481,0.0948400759173041
0.6875,0.375,1.417,0.104381224365304
0.6875,0.4375,1.337,0.101895485670367
0.6875,0.5,1.265,0.105574618161753
0.6875,0.5625,1.17,0.0894787125522043
0.6875,0.625,1.108,0.0883676411363346
0.6875,0.6875,1.043,0.0883676411363344
0.6875,0.75,0.979,0.0825082420125408
0.6875,0.8125,0.949,0.0909514156019574
0.6875,0.875,0.884,0.0574766039358624
0.6875,0.9375,0.868,0.0560892146495207
0.6875,1,0.852,0.062488478938121
0.75,0,1.563,0.0485593451356172
0.75,0.0625,1.548,0.0430010464988935
0.75,0.125,1.52,0.0475130508386907
0.75,0.1875,1.501,0.0678692861315043
0.75,0.25,1.452,0.0743744579812182
0.75,0.3125,1.368,0.0646239119831043
0.75,0.375,1.322,0.0901734439843573
0.75,0.4375,1.249,0.102989125639555
0.75,0.5,1.15,0.0878910689433232
0.75,0.5625,1.082,0.0954360518881624
0.75,0.625,0.983,0.068883960397178
0.75,0.6875,0.924,0.0744744251404468
0.75,0.75,0.861,0.0677421582177597
0.75,0.8125,0.82,0.06606125944909
0.75,0.875,0.766,0.0487369469704453
0.75,0.9375,0.764,0.0604099329580823
0.75,1,0.727,0.0335596483890996
0.8125,0,1.441,0.0183763434883004
0.8125,0.0625,1.444,0.0312371573610659
0.8125,0.125,1.421,0.0364005494464026
0.8125,0.1875,1.397,0.0549596215416374
0.8125,0.25,1.353,0.0641326749792958
0.8125,0.3125,1.268,0.0585430610747336
0.8125,0.375,1.202,0.0636575997034132
0.8125,0.4375,1.132,0.0778807421639008
0.8125,0.5,1.024,0.0547170905659283
0.8125,0.5625,0.947,0.0542273916023995
0.8125,0.625,0.891,0.0721435374791118
0.8125,0.6875,0.8,0.0477833653063491
0.8125,0.75,0.731,0.039752232641702
0.8125,0.8125,0.695,0.0466836159696311
0.8125,0.875,0.635,0.0260376650258812
0.8125,0.9375,0.615,0.0252247893945618
0.8125,1,0.619,0.0364923279608193
0.875,0,1.331,0.018054362353736
0.875,0.0625,1.318,0.0167705098312484
0.875,0.125,1.298,0.0196987309235901
0.875,0.1875,1.276,0.0345398320783411
0.875,0.25,1.213,0.0363385470265392
0.875,0.3125,1.167,0.0542439858417502
0.875,0.375,1.105,0.0649187184100242
0.875,0.4375,1.031,0.0724999999999999
0.875,0.5,0.92,0.0495742876902937
0.875,0.5625,0.841,0.0468624583222007
0.875,0.625,0.743,0.0283233119532303
0.875,0.6875,0.673,0.0296184064392398
0.875,0.75,0.629,0.0387922672706817
0.875,0.8125,0.555,0.0170293863659264
0.875,0.875,0.506,0.01125877435603
0.875,0.9375,0.498,0.018520529150108
0.875,1,0.504,0.0360310976796434
0.9375,0,1.208,0.0187085541932026
0.9375,0.0625,1.176,0.0235847408296127
0.9375,0.125,1.191,0.023600847442412
0.9375,0.1875,1.156,0.0288008680424738
0.9375,0.25,1.107,0.0392173431022551
0.9375,0.3125,1.071,0.0638376847951114
0.9375,0.375,0.981,0.0563208664706075
0.9375,0.4375,0.891,0.0458802789878179
0.9375,0.5,0.825,0.0600246615983797
0.9375,0.5625,0.73,0.0491503814837688
0.9375,0.625,0.654,0.0457035009599921
