theta_over_pi,phi_over_pi,data,error
0.4375,0.125,0.7433,0.0101390334845092
0.4375,0.1875,0.643,0.0117720006795786
0.4375,0.25,0.5162,0.0100960388271837
0.4375,0.3125,0.3854,0.00568594759033183
0.4375,0.375,0.2525,0.00456179789118281
0.4375,0.4375,0.1277,0.00497919672236396
0.4375,0.5,-0.00026,0.00170982133569563
0.4375,0.5625,-0.1285,0.00540832691319599
0.4375,0.625,-0.256,0.00639061812346819
0.4375,0.6875,-0.3882,0.00990403957988861
0.4375,0.75,-0.5216,0.0149906637611548
0.4375,0.8125,-0.6431,0.0139176147381654
0.4375,0.875,-0.7472,0.0106004716876184
0.4375,0.9375,-0.8286,0.0202881738951538
0.4375,1,-0.8448,0.0102615788258922
0.5,0,0.9126,0.019865799757372
0.5,0.0625,0.8845,0.0207504216824622
0.5,0.125,0.7918,0.0146741268905513
0.5,0.1875,0.6642,0.0104694794521982
0.5,0.25,0.5281,0.00886002257333474
0.5,0.3125,0.3897,0.00817435012707434
0.5,0.375,0.2547,0.0060440052945046
0.5,0.4375,0.1232,0.00150784614599766
0.5,0.5,-0.00017,0.00143391073641284
0.5,0.5625,-0.1248,0.00289834435497233
0.5,0.625,-0.2543,0.00525547333738838
0.5,0.6875,-0.3927,0.00970154626850794
0.5,0.75,-0.5308,0.0142414886862294
0.5,0.8125,-0.6731,0.0172467388221658
0.5,0.875,-0.7948,0.0156236999459154
0.5,0.9375,-0.8812,0.0150784614599766
0.5,1,-0.9128,0.0184114095060644
0.5625,0,0.9619,0.0214401492532118
0.5625,0.0625,0.9225,0.0183120179117431
0.5625,0.125,0.8198,0.0136821051011896
0.5625,0.1875,0.6831,0.0167529101949483
0.5625,0.25,0.5289,0.00794040301244218
0.5625,0.3125,0.3875,0.00812526922630877
0.5625,0.375,0.2517,0.00787419202204263
0.5625,0.4375,0.1218,0.00324038577950219
0.5625,0.5,0.00031,0.0015138031576133
0.5625,0.5625,-0.1221,0.00305083595101408
0.5625,0.625,-0.2489,0.00499799959983993
0.5625,0.6875,-0.3859,0.00743303437365925
0.5625,0.75,-0.5322,0.00961665222413703
0.5625,0.8125,-0.6856,0.0182584227139148
0.5625,0.875,-0.8297,0.0205
0.5625,0.9375,-0.9234,0.0176773866846885
0.5625,1,-0.9527,0.0150734866570412
0.625,0,0.9884,0.0208585713796511
0.625,0.0625,0.9425,0.0150283066245003
0.625,0.125,0.831,0.0186316934281347
0.625,0.1875,0.6883,0.0170317350848351
0.625,0.25,0.5261,0.0106301458127346
0.625,0.3125,0.377,0.00817863069223694
0.625,0.375,0.2438,0.00524370098308437
0.625,0.4375,0.1193,0.00380257807283428
0.625,0.5,-0.00098,0.00128062484748657
0.625,0.5625,-0.1186,0.00139014387744579
0.625,0.625,-0.2469,0.00717846780309001
0.625,0.6875,-0.3786,0.00708801805866771
0.625,0.75,-0.5272,0.0113030969207558
0.625,0.8125,-0.6822,0.0115134703716994
0.625,0.875,-0.8344,0.0162086396714839
0.625,0.9375,-0.961,0.0295169442862908
0.625,1,-0.9843,0.0204599608992783
0.6875,0,1.0239,0.0300707499075099
0.6875,0.0625,0.9733,0.0252517326138228
0.6875,0.125,0.8399,0.0152829970882678
0.6875,0.1875,0.6833,0.0115952576512986
0.6875,0.25,0.5213,0.0115741090369842
0.6875,0.3125,0.3696,0.00659696900098822
0.6875,0.375,0.2369,0.00563915773852797
0.6875,0.4375,0.11578,0.00281952123595478
0.6875,0.5,0.00025,0.000957223067001626
0.6875,0.5625,-0.1156,0.0032097507691408
0.6875,0.625,-0.2379,0.00692314957226839
0.6875,0.6875,-0.3674,0.00751864349467378
0.6875,0.75,-0.5238,0.0149933318511931
0.6875,0.8125,-0.6797,0.0113600176056202
0.6875,0.875,-0.8447,0.0166643331699771
0.6875,0.9375,-0.9523,0.00940478601564122
0.6875,1,-1.0117,0.0207761882933324
0.75,0,1.0364,0.0232131428290096
0.75,0.0625,0.983,0.0248573932663906
0.75,0.125,0.8478,0.0181033146136281
0.75,0.1875,0.676,0.013532922818076
0.75,0.25,0.5141,0.0118532695911297
0.75,0.3125,0.3603,0.00735459040327874
0.75,0.375,0.2308,0.00574626835433223
0.75,0.4375,0.11158,0.00261704031302538
0.75,0.5,6.2e-05,0.000883167028370059
