theta_over_pi,phi_over_pi,data,error
0,0,-0.00019,0.000622012861603359
0,0.0625,-0.00083,0.000935093578204877
0,0.125,-0.00079,0.000848999411071645
0,0.1875,-0.00056,0.000941116358374457
0,0.25,0.0005,0.000814002456998749
0,0.3125,0.00053,0.00090348713327861
0,0.375,-0.00137,0.00115433963806152
0,0.4375,-0.0003,0.000717205688767176
0,0.5,-0.00052,0.000688839603971781
0,0.5625,-0.00036,0.000683593446428504
0,0.625,-0.00177,0.00158776572579206
0,0.6875,0.00022,0.000728096834219186
0,0.75,-0.00034,0.000676017751246223
0,0.8125,0.00038,0.000770109732440774
0,0.875,-0.00048,0.000687095335452075
0,0.9375,-0.00029,0.00063285069329187
0,1,-0.0017,0.00161384633717092
0.0625,0,0.037,0.0198768709811177
0.0625,0.0625,0.021,0.0193018133863117
0.0625,0.125,0.027,0.0200202397588041
0.0625,0.1875,-0.023,0.047151776212567
0.0625,0.25,0.0048,0.0285217460896068
0.0625,0.3125,0.0032,0.0239426397876258
0.0625,0.375,0.024,0.0227308160874175
0.0625,0.4375,0.017,0.0212424104093674
0.0625,0.5,-0.0092,0.0277238164760915
0.0625,0.5625,-0.0093,0.0212132034355964
0.0625,0.625,-0.024,0.0237065391822594
0.0625,0.6875,-0.041,0.0341263827558679
0.0625,0.75,-0.029,0.0261306333639275
0.0625,0.8125,-0.042,0.0271442443254551
0.0625,0.875,0.014,0.0410019511730844
0.0625,0.9375,-0.02,0.0210401996188249
0.0625,1,-0.031,0.0191908832522112
0.125,0,0.09,0.0180623918681884
0.125,0.0625,0.099,0.021242645786248
0.125,0.125,0.092,0.0190023682734548
0.125,0.1875,0.085,0.0221576172004121
0.125,0.25,0.042,0.02556188568944
0.125,0.3125,0.032,0.0225257630281418
0.125,0.375,0.024,0.0254285272872811
0.125,0.4375,0.012,0.01983658236693
0.125,0.5,-0.034,0.0366154339042978
0.125,0.5625,-0.0036,0.0276588141466694
0.125,0.625,-0.00015,0.0340450069760604
0.125,0.6875,-0.056,0.0216601015694756
0.125,0.75,-0.045,0.0212228650280776
0.125,0.8125,-0.046,0.0316267292017369
0.125,0.875,-0.071,0.0230902576858726
0.125,0.9375,-0.096,0.0239240464804765
0.125,1,-0.085,0.0202543822418755
0.1875,0,0.174,0.0223660456943108
0.1875,0.0625,0.201,0.0302978547095335
0.1875,0.125,0.194,0.0197385409795152
0.1875,0.1875,0.144,0.0194257560985409
0.1875,0.25,0.107,0.0307304409340315
0.1875,0.3125,0.094,0.0224742074387508
0.1875,0.375,0.062,0.0178
0.1875,0.4375,0.026,0.0231276890328455
0.1875,0.5,-0.011,0.0169189243156886
0.1875,0.5625,-0.024,0.023830442715149
0.1875,0.625,-0.047,0.0303151777167807
0.1875,0.6875,-0.096,0.0193775643464291
0.1875,0.75,-0.087,0.0420475920832573
0.1875,0.8125,-0.163,0.0190318154677897
0.1875,0.875,-0.156,0.029732137494637
0.1875,0.9375,-0.145,0.0389466301494751
0.1875,1,-0.193,0.0212132034355964
0.25,0,0.256,0.0397367588008886
0.25,0.0625,0.272,0.0227422514276841
0.25,0.125,0.267,0.0220002272715534
0.25,0.1875,0.225,0.0259699826723084
0.25,0.25,0.201,0.0190850727009357
0.25,0.3125,0.145,0.0243647286050964
0.25,0.375,0.108,0.01476787053031
0.25,0.4375,0.05,0.0164830215676617
0.25,0.5,0.00099,0.0163122070854928
0.25,0.5625,-0.048,0.0190850727009357
0.25,0.625,-0.081,0.0364313052195498
0.25,0.6875,-0.161,0.0164222410163778
0.25,0.75,-0.208,0.0177564072942699
0.25,0.8125,-0.22,0.0305640311477397
0.25,0.875,-0.244,0.0423065006825192
0.25,0.9375,-0.297,0.0206649461649432
0.25,1,-0.333,0.0324967690701707
0.3125,0,0.358,0.0623647336240603
0.3125,0.0625,0.375,0.0384610192272644
0.3125,0.125,0.378,0.0198494332412792
0.3125,0.1875,0.33,0.0205182845286832
0.3125,0.25,0.3,0.0130980914640264
0.3125,0.3125,0.213,0.0251246890528022
0.3125,0.375,0.152,0.0131106826671993
0.3125,0.4375,0.089,0.0142762039772483
0.3125,0.5,-0.0058,0.0136014705087354
0.3125,0.5625,-0.098,0.0190318154677897
0.3125,0.625,-0.169,0.0130311166060319
0.3125,0.6875,-0.239,0.0163266653055668
0.3125,0.75,-0.285,0.0169068033643265
0.3125,0.8125,-0.309,0.0445708424869892
0.3125,0.875,-0.358,0.0336154726279432
0.3125,0.9375,-0.366,0.0488466989672792
0.3125,1,-0.392,0.03604843963336
0.375,0,0.48,0.0637950625048679
0.375,0.0625,0.482,0.0427101861386719
0.375,0.125,0.465,0.0361232612038282
0.375,0.1875,0.435,0.0158113883008419
0.375,0.25,0.359,0.0189760375210422
0.375,0.3125,0.287,0.0137927517196533
0.375,0.375,0.2,0.0111462998344742
0.375,0.4375,0.082,0.0223015694514982
0.375,0.5,0.0089,0.0130384048104053
0.375,0.5625,-0.1,0.0131468627436358
0.375,0.625,-0.211,0.012419339757008
0.375,0.6875,-0.307,0.0161604455384126
0.375,0.75,-0.377,0.0156080107637072
0.375,0.8125,-0.433,0.0213550930693359
0.375,0.875,-0.467,0.0359706825067303
0.375,0.9375,-0.501,0.0281716169220015
0.375,1,-0.52,0.0297994966400441
0.4375,0,0.652,0.0195969385364143
0.4375,0.0625,0.616,0.0255344864839691
0.4375,0.125,0.572,0.01824390309117
0.4375,0.1875,0.487,0.0405177738776453
0.4375,0.25,0.426,0.0236180016089423
0.4375,0.3125,0.375,0.0199972498109115
0.4375,0.375,0.2499,0.0103846039885977
0.4375,0.4375,0.109,0.013717871555019
0.4375,0.5,0.0016,0.00997825636070752
0.4375,0.5625,-0.1218,0.0105688220724923
0.4375,0.625,-0.23,0.012879829191414
0.4375,0.6875,-0.338,0.0151208465371486
0.4375,0.75,-0.442,0.0141155942134931
0.4375,0.8125,-0.509,0.0250726943107437
0.4375,0.875,-0.563,0.0373053615449576
0.4375,0.9375,-0.589,0.0486522353032212
0.4375,1,-0.601,0.0433046186913128
0.5,0,0.743,0.0201318156160839
0.5,0.0625,0.68,0.0515314467097518
0.5,0.125,0.679,0.0141155942134931
0.5,0.1875,0.601,0.0120337026720789
0.5,0.25,0.517,0.0135428948161019
0.5,0.3125,0.3835,0.0204
0.5,0.375,0.2654,0.00984885780179608
0.5,0.4375,0.1269,0.0102927158709448
0.5,0.5,-0.0152,0.0173920582163239
0.5,0.5625,-0.1225,0.0177369670462568
0.5,0.625,-0.2692,0.00975141015443407
0.5,0.6875,-0.39,0.0114127122105133
0.5,0.75,-0.519,0.0128514590611339
0.5,0.8125,-0.605,0.0133880543769436
0.5,0.875,-0.663,0.022973027662892
0.5,0.9375,-0.715,0.018201373574541
0.5,1,-0.737,0.0220327029662727
0.5625,0,0.827,0.0226353705514179
0.5625,0.0625,0.76,0.034528394112672
0.5625,0.125,0.741,0.0156204993518133
0.5625,0.1875,0.654,0.0158417170786503
0.5625,0.25,0.5516,0.0101138518873869
0.5625,0.3125,0.4322,0.00900943949421938
0.5625,0.375,0.3216,0.0280264161105197
0.5625,0.4375,0.1403,0.00943027040969664
0.5625,0.5,-0.0105,0.0122128456962331
0.5625,0.5625,-0.1579,0.0125099960031968
0.5625,0.625,-0.3022,0.0112805141726785
0.5625,0.6875,-0.4217,0.0135059246258818
0.5625,0.75,-0.543,0.016726027621644
0.5625,0.8125,-0.668,0.0125
0.5625,0.875,-0.74,0.0169752761391384
0.5625,0.9375,-0.778,0.0295743131788382
0.5625,1,-0.82,0.0239008368054342
0.625,0,0.855,0.0323289344086686
0.625,0.0625,0.837,0.0278792037189014
0.625,0.125,0.804,0.012149485585818
0.625,0.1875,0.697,0.0153912312697848
0.625,0.25,0.5899,0.0092439169187093
0.625,0.3125,0.4736,0.0196400101832968
0.625,0.375,0.3288,0.0178036513108969
0.625,0.4375,0.1633,0.00949210198006743
0.625,0.5,-0.0028,0.00717297706674154
0.625,0.5625,-0.1635,0.00962600644088711
0.625,0.625,-0.3132,0.00863307592923866
0.625,0.6875,-0.4478,0.0104847508315649
0.625,0.75,-0.589,0.013386933928275
0.625,0.8125,-0.71,0.012149485585818
0.625,0.875,-0.798,0.0168074388292803
0.625,0.9375,-0.863,0.0173979883894662
0.625,1,-0.88,0.0230703272625249
0.6875,0,0.919,0.0200002499984375
0.6875,0.0625,0.871,0.0272682966097994
0.6875,0.125,0.856,0.0160112460477003
0.6875,0.1875,0.747,0.0100124921972504
0.6875,0.25,0.6182,0.00943398113205663
0.6875,0.3125,0.4827,0.0106150836077725
0.6875,0.375,0.3362,0.0133454111963626
0.6875,0.4375,0.1681,0.00832406150866271
0.6875,0.5,-0.011,0.00823286098510111
0.6875,0.5625,-0.1619,0.00667083203206317
0.6875,0.625,-0.3273,0.00713442359269479
0.6875,0.6875,-0.4805,0.0100801785698469
0.6875,0.75,-0.6483,0.0230488611432322
0.6875,0.8125,-0.74,0.0113507708989302
0.6875,0.875,-0.822,0.0206155281280883
0.6875,0.9375,-0.89,0.0212200377002492
0.6875,1,-0.91,0.0277353564967173
0.75,0,0.941,0.0228737841206915
0.75,0.0625,0.904,0.0306804498011356
0.75,0.125,0.852,0.0204166598639444
0.75,0.1875,0.7707,0.00977394495585075
0.75,0.25,0.6498,0.0173666346768739
0.75,0.3125,0.4922,0.00845990543682377
0.75,0.375,0.3367,0.00933380951166242
0.75,0.4375,0.1686,0.00641950153828161
0.75,0.5,0.0054,0.00687968022512675
0.75,0.5625,-0.176,0.0115762688289448
0.75,0.625,-0.3428,0.0147580486514986
0.75,0.6875,-0.4983,0.00915259526036195
0.75,0.75,-0.6403,0.00919238815542511
0.75,0.8125,-0.769,0.0115741090369842
0.75,0.875,-0.87,0.013201893803542
0.75,0.9375,-0.915,0.0211603402619145
0.75,1,-0.957,0.023062740513651
0.8125,0,0.952,0.0279329554469269
0.8125,0.0625,0.903,0.034928498393146
0.8125,0.125,0.857,0.0162052460641608
0.8125,0.1875,0.7607,0.0115676272415738
0.8125,0.25,0.6583,0.0190546582231222
0.8125,0.3125,0.4917,0.00723394774656273
0.8125,0.375,0.343,0.0130249760076555
0.8125,0.4375,0.159,0.00732461603089199
0.8125,0.5,-0.0012,0.00651920240520265
0.8125,0.5625,-0.1636,0.0059464274989274
0.8125,0.625,-0.3418,0.0128015624046442
0.8125,0.6875,-0.5076,0.0149482440440341
0.8125,0.75,-0.6359,0.00953414914924243
0.8125,0.8125,-0.767,0.0119620232402383
0.8125,0.875,-0.882,0.0130061523903113
0.8125,0.9375,-0.937,0.0161941347407017
0.8125,1,-0.964,0.0231464900146869
0.875,0,0.909,0.0546882985655981
0.875,0.0625,0.906,0.0346538598138793
0.875,0.125,0.866,0.0111628849317728
0.875,0.1875,0.7586,0.0141767415155951
0.875,0.25,0.6434,0.0100424100693011
0.875,0.3125,0.4989,0.0128160056179763
0.875,0.375,0.3446,0.0142695479956445
0.875,0.4375,0.1725,0.00828794304999738
0.875,0.5,0.0034,0.00557135531087365
0.875,0.5625,-0.1717,0.00729177618965365
0.875,0.625,-0.3357,0.00800562302385015
0.875,0.6875,-0.4957,0.0110113577727726
0.875,0.75,-0.6458,0.0137437258412703
0.875,0.8125,-0.768,0.0103324730824716
0.875,0.875,-0.854,0.0191783732365391
0.875,0.9375,-0.908,0.0281
0.875,1,-0.976,0.0285413734778129
0.9375,0,0.898,0.0403529428914422
0.9375,0.0625,0.885,0.0362154663092994
0.9375,0.125,0.833,0.021609257275529
0.9375,0.1875,0.7386,0.022155134844997
0.9375,0.25,0.6277,0.00787718223732319
0.9375,0.3125,0.4873,0.0108074048688851
0.9375,0.375,0.3261,0.00636945837571768
0.9375,0.4375,0.1674,0.00629682459657246
0.9375,0.5,0.003,0.00667083203206317
0.9375,0.5625,-0.1673,0.00650000000000001
0.9375,0.625,-0.3245,0.00599082632030006
0.9375,0.6875,-0.4896,0.00880908621821809
0.9375,0.75,-0.63,0.0107814655775548
0.9375,0.8125,-0.753,0.0103846039885977
0.9375,0.875,-0.825,0.0341695771118111
0.9375,0.9375,-0.873,0.0391214774772119
0.9375,1,-0.919,0.0284253408071038
1,0,0.897,0.0296015202312313
1,0.0625,0.857,0.046648043903255
1,0.125,0.81,0.0317176606955809
1,0.1875,0.7129,0.0321014018385491
1,0.25,0.5972,0.0203337158433967
1,0.3125,0.4704,0.00843860177991592
1,0.375,0.3244,0.00827586853448024
1,0.4375,0.1606,0.00526307894677631
1,0.5,-0.0036,0.00578760745040643
1,0.5625,-0.1687,0.0120341181646185
1,0.625,-0.3229,0.00660378679243962
1,0.6875,-0.4701,0.0065924198895398
1,0.75,-0.6112,0.00890056178002265
1,0.8125,-0.7391,0.0131643457870112
1,0.875,-0.813,0.0266540803630514
1,0.9375,-0.857,0.0442217141232675
1,1,-0.868,0.0541303057445642
