theta_over_pi,phi_over_pi,data,error
0,0,0.00084,0.00120569482042514
0,0.0625,-0.00021,0.000618142378421024
0,0.125,-0.0008,0.000869770084562581
0,0.1875,-0.0005,0.000697710541700496
0,0.25,-0.00073,0.00093017471477137
0,0.3125,-0.00128,0.00143614074867333
0,0.375,0.00019,0.000842021377400835
0,0.4375,0.00015,0.000739256383131049
0,0.5,0.00059,0.000818352002502591
0,0.5625,-0.00047,0.000900277734924062
0,0.625,-0.00026,0.000733501874571565
0,0.6875,0.00014,0.000783900503890641
0,0.75,-0.00126,0.00143134211493968
0,0.8125,-0.00047,0.00078548138106514
0,0.875,-0.00063,0.000739256383131049
0,0.9375,-0.00047,0.000745721797991717
0,1,-0.00017,0.000621691241694782
0.0625,0,0.032,0.0220565183109212
0.0625,0.0625,0.024,0.0223787845961303
0.0625,0.125,0.016,0.0307434545879281
0.0625,0.1875,0.044,0.0282481857824534
0.0625,0.25,0.018,0.027390509305232
0.0625,0.3125,0.016,0.0241513974750945
0.0625,0.375,0.028,0.0319563765154937
0.0625,0.4375,0.035,0.0297356688170957
0.0625,0.5,-0.004,0.0273941599615685
0.0625,0.5625,0.0065,0.0332356736053296
0.0625,0.625,-0.0091,0.0350035712463743
0.0625,0.6875,-0.00086,0.0250011519734591
0.0625,0.75,-0.015,0.0266046988331009
0.0625,0.8125,-0.06,0.0329083576010715
0.0625,0.875,-0.042,0.0268521879927875
0.0625,0.9375,-0.027,0.024268498099388
0.0625,1,-0.077,0.0355304095107276
0.125,0,0.133,0.021733844574764
0.125,0.0625,0.149,0.0341351724764941
0.125,0.125,0.116,0.0249647751842471
0.125,0.1875,0.068,0.0311448230047949
0.125,0.25,0.087,0.0225807440090002
0.125,0.3125,0.074,0.0215640905210491
0.125,0.375,0.012,0.0401327796196575
0.125,0.4375,0.061,0.0356089876295297
0.125,0.5,-0.03,0.0271442443254551
0.125,0.5625,-0.033,0.0222315091705444
0.125,0.625,-0.058,0.0325976993053191
0.125,0.6875,-0.072,0.0231248783780586
0.125,0.75,-0.066,0.0279041215593682
