theta_over_pi,phi_over_pi,data,error
0,0,1.526,0.0263787793500761
0,0.0625,1.561,0.0532564550078204
0,0.125,1.497,0.0259237342989006
0,0.1875,1.475,0.0376113014930353
0,0.25,1.511,0.0260432332862108
0,0.3125,1.527,0.0371382552094197
0,0.375,1.483,0.0305530685856593
0,0.4375,1.557,0.0555090082779363
0,0.5,1.523,0.0358574957296239
0,0.5625,1.54,0.0575681335462598
0,0.625,1.524,0.0314358076085218
0,0.6875,1.529,0.0334819354279288
0,0.75,1.555,0.0691859089699628
0,0.8125,1.516,0.0292499572649261
0,0.875,1.508,0.025514897609044
0,0.9375,1.5,0.023000217390277
0,1,1.516,0.0218908656749796
0.0625,0,1.531,0.0224864403585804
0.0625,0.0625,1.509,0.0187360614858086
0.0625,0.125,1.505,0.0193569109105766
0.0625,0.1875,1.537,0.0354261203069146
0.0625,0.25,1.49,0.0214140141029187
0.0625,0.3125,1.512,0.0229889103700023
0.0625,0.375,1.507,0.0222036033111745
0.0625,0.4375,1.506,0.0200800896412341
0.0625,0.5,1.501,0.0280401497856198
0.0625,0.5625,1.504,0.032585886515484
0.0625,0.625,1.501,0.0279614019677126
0.0625,0.6875,1.495,0.0193297697865236
0.0625,0.75,1.503,0.0338236603578026
0.0625,0.8125,1.491,0.0289276684162412
0.0625,0.875,1.47,0.0165109054869804
0.0625,0.9375,1.453,0.0205915031020078
0.0625,1,1.467,0.0147176764470484
0.125,0,1.527,0.0214618265765055
0.125,0.0625,1.554,0.0479099154664251
0.125,0.125,1.536,0.0260276775759959
0.125,0.1875,1.503,0.0190968583803724
0.125,0.25,1.49,0.017066048165876
0.125,0.3125,1.525,0.0408626969251907
0.125,0.375,1.454,0.0189211521847904
0.125,0.4375,1.463,0.0161928996785628
0.125,0.5,1.452,0.0221515236496273
0.125,0.5625,1.427,0.0206649461649433
0.125,0.625,1.448,0.0265
0.125,0.6875,1.41,0.0141876707038189
0.125,0.75,1.432,0.0299666481275433
0.125,0.8125,1.419,0.02538188330286
0.125,0.875,1.393,0.0151208465371487
0.125,0.9375,1.409,0.0257650926643006
0.125,1,1.414,0.0362111861169998
0.1875,0,1.498,0.0214683487953778
0.1875,0.0625,1.532,0.0356740802264052
0.1875,0.125,1.492,0.0214618265765056
0.1875,0.1875,1.505,0.0246868385987351
0.1875,0.25,1.477,0.015277761616153
0.1875,0.3125,1.449,0.0160262285020525
0.1875,0.375,1.446,0.0232002155162403
0.1875,0.4375,1.44,0.0395949491728426
0.1875,0.5,1.396,0.0252960471220306
0.1875,0.5625,1.366,0.0198403628999069
0.1875,0.625,1.343,0.0228114006584426
0.1875,0.6875,1.328,0.0167260276216442
0.1875,0.75,1.34,0.0386005181312377
0.1875,0.8125,1.301,0.0264622372447985
0.1875,0.875,1.295,0.0272045952000759
0.1875,0.9375,1.294,0.032097507691408
0.1875,1,1.2788,0.0131590273196767
0.25,0,1.527,0.0223212902852859
