theta_over_pi,phi_over_pi,data,error
0,0,0.00029,0.00103310212467113
0,0.0625,0.00051,0.000987927122818277
0,0.125,2e-05,0.000933434518324665
0,0.1875,0.00073,0.00125003039963034
0,0.25,-0.00018,0.00101843016451792
0,0.3125,-0.00102,0.00142863571283935
0,0.375,-0.0009,0.00156339374439071
0,0.4375,-0.00071,0.00122902817298872
0,0.5,-9.6e-05,0.00104874019661687
0,0.5625,0.00047,0.0011162508678608
0,0.625,0.0012,0.00135207248326412
0,0.6875,0.00145,0.00163600122249343
0,0.75,-0.0007,0.00127663620503258
0,0.8125,-0.00133,0.00155080624192708
0,0.875,0.00039,0.000960832971957145
0,0.9375,-0.00092,0.00131445556790635
0,1,0.00045,0.000953414914924242
0.0625,0,0.002,0.0253527118865024
0.0625,0.0625,0.012,0.0252578700606365
0.0625,0.125,0.0099,0.0250001999992
0.0625,0.1875,0.069,0.0512161107465219
0.0625,0.25,0.01,0.0257334412778392
0.0625,0.3125,0.0082,0.0254017715917611
0.0625,0.375,0.01,0.0250647162361755
0.0625,0.4375,0.0014,0.025663982543635
0.0625,0.5,-0.022,0.0282708330262835
0.0625,0.5625,-0.025,0.031891064579283
0.0625,0.625,-0.0055,0.0261296766149143
0.0625,0.6875,0.026,0.0493963561409139
0.0625,0.75,-0.005,0.02675238307142
0.0625,0.8125,0.0014,0.0262213653343986
0.0625,0.875,0.039,0.0593033725853766
0.0625,0.9375,-0.032,0.0362138095206787
0.0625,1,-0.028,0.0267972013464093
0.125,0,0.021,0.0402243707222375
0.125,0.0625,0.046,0.0270386760030886
0.125,0.125,0.049,0.0242396369609778
0.125,0.1875,0.091,0.0417808568605288
0.125,0.25,0.06,0.0241919408068059
0.125,0.3125,0.036,0.0232079727679951
0.125,0.375,-0.0012,0.0314841229828623
0.125,0.4375,0.0091,0.0234955314900515
0.125,0.5,-0.016,0.0264690385167274
0.125,0.5625,-0.0059,0.0240127049704943
0.125,0.625,-0.032,0.0255820249393984
0.125,0.6875,-0.025,0.0275688229708851
0.125,0.75,-0.028,0.0288444102037119
0.125,0.8125,-0.035,0.0320224920954007
0.125,0.875,-0.034,0.0265706605111728
0.125,0.9375,-0.062,0.0263058928759318
0.125,1,-0.027,0.0472492327980042
0.1875,0,0.132,0.0243148103015426
0.1875,0.0625,0.11,0.0257751818616281
0.1875,0.125,0.105,0.0277353564967173
0.1875,0.1875,0.087,0.0285524079544966
0.1875,0.25,0.095,0.0211482859825566
0.1875,0.3125,0.056,0.0245415973400266
0.1875,0.375,0.069,0.0345218771216167
0.1875,0.4375,0.043,0.0228868958139805
0.1875,0.5,-0.028,0.0316652806714231
0.1875,0.5625,-0.048,0.0307774267930248
0.1875,0.625,-0.08,0.0294170018866641
0.1875,0.6875,-0.066,0.0211728599863127
0.1875,0.75,-0.121,0.0280492424140118
0.1875,0.8125,-0.069,0.0426174846747201
0.1875,0.875,-0.112,0.0249447389242702
0.1875,0.9375,-0.142,0.0320781857342338
0.1875,1,-0.097,0.0448200847834986
0.25,0,0.179,0.036424716882908
0.25,0.0625,0.132,0.0784474346298207
0.25,0.125,0.17,0.0302694565527695
0.25,0.1875,0.18,0.0205915031020079
0.25,0.25,0.158,0.0242074368738204
0.25,0.3125,0.129,0.0216122650363168
0.25,0.375,0.078,0.0190378570222596
0.25,0.4375,0.048,0.0198949742397421
0.25,0.5,0.032,0.0365897922923867
0.25,0.5625,-0.032,0.0193380454027805
0.25,0.625,-0.074,0.0205387438759044
0.25,0.6875,-0.079,0.0420594816896262
0.25,0.75,-0.15,0.0202704218012354
0.25,0.8125,-0.157,0.0293470611816584
0.25,0.875,-0.2,0.0226294056484036
0.25,0.9375,-0.178,0.036424716882908
0.25,1,-0.201,0.0261296766149143
0.3125,0,0.246,0.0713248904660919
0.3125,0.0625,0.301,0.0221199005422719
0.3125,0.125,0.304,0.0255501467706156
0.3125,0.1875,0.243,0.0243318721022448
0.3125,0.25,0.198,0.0280401497856199
0.3125,0.3125,0.16,0.018095303258028
0.3125,0.375,0.113,0.0170026468527697
0.3125,0.4375,0.041,0.0277238164760915
0.3125,0.5,-0.0052,0.0179080121733262
0.3125,0.5625,-0.056,0.0204129860627984
0.3125,0.625,-0.104,0.0202605528058837
0.3125,0.6875,-0.191,0.0255266527378738
0.3125,0.75,-0.217,0.0190947636801297
0.3125,0.8125,-0.258,0.0200997512422418
0.3125,0.875,-0.249,0.0372778754759442
0.3125,0.9375,-0.265,0.0444184646290256
0.3125,1,-0.283,0.0399025061869552
0.375,0,0.421,0.0274765354439019
0.375,0.0625,0.379,0.0287939229699602
0.375,0.125,0.367,0.023950782868207
0.375,0.1875,0.328,0.018962067397834
0.375,0.25,0.244,0.0386405227707908
0.375,0.3125,0.219,0.0163367683462795
0.375,0.375,0.149,0.0189747200242849
0.375,0.4375,0.071,0.020181427105138
0.375,0.5,-0.0038,0.0162262133598693
0.375,0.5625,-0.073,0.0169189243156886
0.375,0.625,-0.134,0.0217276321765626
0.375,0.6875,-0.208,0.0296561966543251
0.375,0.75,-0.265,0.0234138847695123
0.375,0.8125,-0.312,0.0327702609083297
0.375,0.875,-0.402,0.0340036762718386
0.375,0.9375,-0.399,0.023513613078385
0.375,1,-0.407,0.0305812033772381
0.4375,0,0.483,0.0343796451406934
0.4375,0.0625,0.503,0.0205
0.4375,0.125,0.459,0.0197385409795152
0.4375,0.1875,0.378,0.0390302446828098
0.4375,0.25,0.368,0.0174416168975242
0.4375,0.3125,0.274,0.0150269757436418
0.4375,0.375,0.212,0.0259699826723084
0.4375,0.4375,0.104,0.0158354033734541
0.4375,0.5,0.015,0.0188350736659032
0.4375,0.5625,-0.098,0.0150850919785065
0.4375,0.625,-0.202,0.0166385095486345
0.4375,0.6875,-0.274,0.0171918585382733
0.4375,0.75,-0.34,0.0216601015694756
0.4375,0.8125,-0.406,0.0178370401132026
0.4375,0.875,-0.46,0.01983658236693
0.4375,0.9375,-0.481,0.0265224433263604
0.4375,1,-0.499,0.0323803953033313
0.5,0,0.575,0.02700074073058
0.5,0.0625,0.601,0.0241456000132529
0.5,0.125,0.548,0.0171685759456048
0.5,0.1875,0.499,0.0168154690686879
0.5,0.25,0.426,0.0178630904381073
0.5,0.3125,0.327,0.0142214626533279
0.5,0.375,0.232,0.014489996549344
0.5,0.4375,0.118,0.0130311166060319
0.5,0.5,0.014,0.016280049139975
0.5,0.5625,-0.129,0.0164623813587221
0.5,0.625,-0.23,0.0173216627377397
0.5,0.6875,-0.341,0.0214869727974883
0.5,0.75,-0.424,0.0172409396495667
0.5,0.8125,-0.485,0.0204276773031101
0.5,0.875,-0.531,0.0282708330262834
0.5,0.9375,-0.62,0.0435917423372822
